Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Satured Zone Area,Vulnerability Sum,Vulnerability Rate,Global Area of site (in cells),Saturation Rate
7,1,1,0.159679583825235,2,114,8,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
8,0,0,0,1,41455,15341,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,0,0.000600677964944,2,26921,7671,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,0,0.00274110308144,7,11467,2193,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,0,0.007622355139556,30,6018,513,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,0,0.020774846241437,90,4097,172,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,0,0.039135013063458,182,3224,86,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,0,0.046966019749002,365,2132,44,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,0,0.058837996967206,730,1258,23,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,0,0.073701897130186,3652,252,6,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,0,1,0,1,34984,15341,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,0,1,0.000974266127506,2,22074,7671,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,0,1,0.004705089492969,7,10856,2193,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,0,1,0.014356800507958,30,6085,513,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,0,1,0.044356687647535,90,3896,172,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,0,1,0.084975247636478,182,2976,86,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,0,1,0.091002438597662,365,2488,44,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,0,1,0.105764890389011,730,1426,23,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,0,1,0.111390777400995,3652,621,6,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,0,0,0,41455,15341,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.001655533585263,0.0002,17224,6597,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.022448607594804,0.05,3236,239,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.02803863371052,0.1,2275,122,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.037424288757915,0.2,2614,62,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.042721227984255,0.25,2262,50,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.048438381278374,0.4,1465,32,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.057006287712409,0.5,1788,26,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.059864531605466,0.8,1062,17,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.066054145674874,1,739,14,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,0,0.065123816746722,2,605,8,4342,4276.61226267944,0.178937751576546,23900,0.181673640167364
8,1,1,0,0,34984,15341,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.002614960294624,0.0002,16194,6597,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.030838690746353,0.05,4235,239,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.037084396448627,0.1,3536,122,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.047308958190033,0.2,2965,62,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.056752590770095,0.25,3008,50,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.071852779951445,0.4,2533,32,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.084012302872139,0.5,2230,26,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.094229003719355,0.8,1893,17,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.091986081221276,1,1510,14,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
8,1,1,0.11209567422984,2,933,8,4439,4371.38878380353,0.182903296393453,23900,0.185732217573222
10,0,0,0,1,109709,15341,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,0,0.003099300458946,2,67222,7671,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,0,0.014919033812801,7,32665,2193,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,0,0.043551774507553,30,18164,513,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,0,0.107676362979116,90,9440,172,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,0,0.193842400524066,182,6634,86,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,0,0.233916068934059,365,4426,44,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,0,0.283562012966394,730,2721,23,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,0,0.327672624834692,3652,675,6,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,0,1,0,1,89099,15341,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,0,1,0.004614729842173,2,57997,7671,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,0,1,0.022298206120498,7,31332,2193,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,0,1,0.067175096478273,30,21155,513,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,0,1,0.177169056472528,90,11756,172,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,0,1,0.332494858939581,182,6774,86,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,0,1,0.356160204187498,365,3102,44,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,0,1,0.392331642499098,730,3162,23,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,0,1,0.425106314301199,3652,1949,6,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,0,0,0,109709,15341,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.006783703534538,0.0002,44347,6597,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.095028487463417,0.05,13314,239,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.129676325022094,0.1,7264,122,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.188010498974742,0.2,5921,62,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.21087899385564,0.25,4259,50,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
