Site;Rate;H Error;Satured Zone Area;Vulnerability Sum;Vulnerability Rate;Global Area of site (in cells)
16.0;1.0;0.0;5243;5258.6906540019645;0.193733077438917;27144
16.0;2.0;0.0031220060443771;5243;5258.6906540019645;0.193733077438917;27144
16.0;7.0;0.0119243259775783;5243;5258.6906540019645;0.193733077438917;27144
16.0;15.0;0.0202042268021913;5243;5258.6906540019645;0.193733077438917;27144
16.0;21.0;0.0239631484988848;5243;5258.6906540019645;0.193733077438917;27144
16.0;30.0;0.0353137113675942;5243;5258.6906540019645;0.193733077438917;27144
16.0;45.0;0.0496047517559637;5243;5258.6906540019645;0.193733077438917;27144
16.0;50.0;0.0476057072960049;5243;5258.6906540019645;0.193733077438917;27144
16.0;60.0;0.0567602945941713;5243;5258.6906540019645;0.193733077438917;27144
16.0;75.0;0.0725509104538725;5243;5258.6906540019645;0.193733077438917;27144
16.0;90.0;0.0895169299721877;5243;5258.6906540019645;0.193733077438917;27144
16.0;100.0;0.0844783754487946;5243;5258.6906540019645;0.193733077438917;27144
16.0;125.0;0.1091538112510357;5243;5258.6906540019645;0.193733077438917;27144
16.0;150.0;0.121042185801159;5243;5258.6906540019645;0.193733077438917;27144
16.0;182.0;0.170593776057579;5243;5258.6906540019645;0.193733077438917;27144
